base;num variables;Ramas Rchic;Ramas Pchic;Grupos  Rchic;Grupos Pchic;Porcentaje de ramas similares ;Porcentaje de grupos similares;;;
1;88;83;83;44;15;1.000;0.341;;;
2;31;28;28;15;7;1.000;0.467;;;
3;13;12;12;6;6;1.000;1.000;;;
4;71;67;67;35;15;1.000;0.429;;;
5;23;21;21;11;6;1.000;0.545;;;
6;53;44;44;26;9;1.000;0.346;;;
7;83;77;77;41;20;1.000;0.488;;;
8;77;70;70;35;17;1.000;0.486;;;
9;52;45;45;26;15;1.000;0.577;;;
10;81;75;75;40;17;1.000;0.425;;;
11;68;60;60;31;15;1.000;0.484;;;
12;78;70;70;35;17;1.000;0.486;;;
13;42;38;38;22;8;1.000;0.364;;;
14;13;12;12;6;4;1.000;0.667;;;
15;71;67;67;35;10;1.000;0.286;;;
16;23;21;21;11;6;1.000;0.545;;;
17;98;90;90;45;20;1.000;0.444;;;
18;47;42;42;23;12;1.000;0.522;;;
19;54;48;48;25;14;1.000;0.560;;;
20;15;13;13;7;4;1.000;0.571;;;
21;38;32;32;19;8;1.000;0.421;;;
22;95;90;90;45;15;1.000;0.333;;;
23;93;86;86;45;13;1.000;0.289;;;
24;92;85;85;44;13;1.000;0.295;;;
25;42;36;36;20;15;1.000;0.750;;;
26;79;70;70;35;13;1.000;0.371;;;
27;40;36;36;20;3;1.000;0.150;;;
28;17;16;16;8;7;1.000;0.875;;;
29;8;7;7;4;4;1.000;1.000;;;
30;19;17;17;9;8;1.000;0.889;;;
31;17;16;16;9;6;1.000;0.667;;;
32;18;16;16;9;7;1.000;0.778;;;
33;27;24;24;13;8;1.000;0.615;;;
34;74;70;70;35;17;1.000;0.486;;;
35;17;15;15;8;5;1.000;0.625;;;
36;96;90;90;45;15;1.000;0.333;;;
37;40;35;35;20;9;1.000;0.450;;;
38;50;43;43;25;9;1.000;0.360;;;
39;41;36;36;20;5;1.000;0.250;;;
40;67;60;60;33;10;1.000;0.303;;;
41;91;87;87;45;12;1.000;0.267;;;
42;34;30;30;17;11;1.000;0.647;;;
43;52;45;45;25;10;1.000;0.400;;;
44;64;60;60;31;15;1.000;0.484;;;
45;85;80;80;40;9;1.000;0.225;;;
46;73;70;70;35;15;1.000;0.429;;;
47;50;43;43;20;10;1.000;0.500;;;
48;83;80;80;40;6;1.000;0.150;;;
49;32;30;30;15;15;1.000;1.000;;;
50;13;12;12;6;6;1.000;1.000;;;
51;63;60;60;30;10;1.000;0.333;;;
52;25;24;24;12;7;1.000;0.583;;;
53;63;60;60;30;11;1.000;0.367;;;
54;96;93;93;46;15;1.000;0.326;;;
55;19;17;17;9;9;1.000;1.000;;;
56;61;59;59;30;15;1.000;0.500;;;
57;46;45;45;22;10;1.000;0.455;;;
58;3;2;2;1;1;1.000;1.000;;;
59;24;23;23;12;7;1.000;0.583;;;
60;40;38;38;20;9;1.000;0.450;;;
61;25;24;24;12;8;1.000;0.667;;;
62;65;60;60;30;11;1.000;0.367;;;
63;31;29;29;15;8;1.000;0.533;;;
64;36;34;34;16;10;1.000;0.625;;;
65;34;30;30;17;11;1.000;0.647;;;
66;91;87;87;45;10;1.000;0.222;;;
67;27;24;24;13;7;1.000;0.538;;;
68;22;21;21;10;10;1.000;1.000;;;
69;19;18;18;9;9;1.000;1.000;;;
70;68;65;65;30;9;1.000;0.300;;;
71;95;94;94;45;15;1.000;0.333;;;
72;19;17;17;9;9;1.000;1.000;;;
73;64;62;62;32;10;1.000;0.313;;;
74;46;43;43;20;12;1.000;0.600;;;
75;88;85;85;42;20;1.000;0.476;;;
76;84;82;82;40;14;1.000;0.350;;;
77;84;82;82;39;15;1.000;0.385;;;
78;37;36;36;16;12;1.000;0.750;;;
79;48;46;46;20;5;1.000;0.250;;;
80;49;47;47;24;10;1.000;0.417;;;
81;100;98;98;50;10;1.000;0.200;;;
82;66;64;64;33;9;1.000;0.273;;;
83;97;95;95;50;11;1.000;0.220;;;
84;80;78;78;40;15;1.000;0.375;;;
85;21;20;20;10;10;1.000;1.000;;;
86;62;60;60;30;15;1.000;0.500;;;
87;44;42;42;22;10;1.000;0.455;;;
88;77;75;75;35;7;1.000;0.200;;;
89;52;50;50;25;5;1.000;0.200;;;
90;91;90;90;45;17;1.000;0.378;;;
91;48;45;45;23;12;1.000;0.522;;;
92;66;64;64;31;15;1.000;0.484;;;
93;33;30;30;15;10;1.000;0.667;;;
94;62;60;60;31;15;1.000;0.484;;;
95;11;10;10;5;5;1.000;1.000;;;
96;94;93;93;46;20;1.000;0.435;;;
97;40;39;39;20;10;1.000;0.500;;;
98;92;90;90;45;15;1.000;0.333;;;
99;6;5;5;3;3;1.000;1.000;;;
100;11;10;10;5;5;1.000;1.000;;;
101;19;18;18;9;7;1.000;0.778;;;
102;78;76;76;36;14;1.000;0.389;;;
103;47;45;45;22;10;1.000;0.455;;;
104;98;95;95;47;10;1.000;0.213;;;
